"Peak#","Ret_Time","Area","Conc_ug/mL extract","Dilution","CorrConc_ug /mL biodiesel","%FAME","Lab_Tag","Treatment_ID","Type"
"C14:0",10.315,45401712,320.220722152753,100,32022.0722152753,0.080895893293966,"Fat5_B2","High fat","LAE"
"C14:1 (Z9)",NA,NA,0,100,0,0,"Fat5_B2","High fat","LAE"
"C15:0",11.63,5099465,33.3529795785136,100,3335.29795785136,0.00842581035630854,"Fat5_B2","High fat","LAE"
"C16:0",13.146,153807185,1044.61927494543,100,104461.927494543,0.26389737937851,"Fat5_B2","High fat","LAE"
"C16:1 (Z9)",13.441,8575399,49.7449383907515,100,4974.49383907515,0.0125668357778967,"Fat5_B2","High fat","LAE"
"Unknown 2",13.573,4388892,21.2918164703644,100,2129.18164703644,0.0053788540030825,"Fat5_B2","High fat","LAE"
"C17:0",NA,NA,0,100,0,0,"Fat5_B2","High fat","LAE"
"C18:0",16.182,44110634,290.748409599873,100,29074.8409599873,0.073450438061163,"Fat5_B2","High fat","LAE"
"C18:1 (Z9)",16.456,110147541,740.068527970531,100,74006.8527970531,0.186960120089817,"Fat5_B2","High fat","LAE"
"Unknown 3",16.717,16730571,105.170643685817,100,10517.0643685817,0.0265687776608257,"Fat5_B2","High fat","LAE"
"C18:2 (Z9,12)",17.091,34932417,230.48704244899,100,23048.704244899,0.0582268850880332,"Fat5_B2","High fat","LAE"
"C18:3 (Z6,9,12)",NA,NA,0,100,0,0,"Fat5_B2","High fat","LAE"
"C20:1 (Z11)",19.842,18570039,117.672380162706,100,11767.2380162706,0.0297270340448122,"Fat5_B2","High fat","LAE"
"C22:0",22.868,54721743,348.599512456606,100,34859.9512456606,0.088065097013197,"Fat5_B2","High fat","LAE"
"C22:2 ???",25.721,11200268,72.1397040180418,100,7213.97040180418,0.0182243227710853,"Fat5_B2","High fat","LAE"
"C24:0",26.077,25282306,164.85528176927,100,16485.528176927,0.0416466342131099,"Fat5_B2","High fat","LAE"
"Unknown 4",26.773,5923360,36.8994738720637,100,3689.94738720637,0.00932174495420077,"Fat5_B2","High fat","LAE"
"C4:0",2.317,2124886,14.4833026019258,100,1448.33026019258,0.00346463190705186,"Fat6_B1","Low fat","LAE"
"C6:0",3.672,5185107,36.1028195183293,100,3610.28195183293,0.0086363575957535,"Fat6_B1","Low fat","LAE"
"C8:0",5.104,5170564,36.0000777116052,100,3600.00777116052,0.00861178015291823,"Fat6_B1","Low fat","LAE"
